bangla,classes
চুয়েটে  বছর থাকাকালীন কখনো দেখি নাই  এমনও হয়েছে যে হল গুলোকে সাউথ ও নর্থ হল নামেই অনেকে চিনে  আসল নাম অনেকে জানেই না ,disgust
চুয়েটে এ ফ্ল্যাশ মব এর নামে যেটা হয়  সেটা কি আদৌ তাই  ফ্ল্যাশমব মানে হচ্ছে হঠাৎ করেই সব হবে   কিন্তু তা না শুধু শুধু মানুষ জড়ো করে নাচানাচি করে ,anger
চুয়েটে কি শহীদ তারেক হুদা এবং শহীদ মোহাম্মদ শাহ এর শাহাদাত দিবস পালিত হয়  না হলে কেন হয় না  দেশের কয়টা বিশ্ববিদ্যালয়ের ছাত্ররা মুক্তিযুদ্ধে শহীদ হয়েছে ,anger
চুয়েটে যাওয়ার আগে প্রতিবছর পহেলা বৈশাখ মানে ছিলো সকালে বাসায় ইলিশ মাছ দিয়ে ভাত খেয়ে সুন্দর করে সেজেগুজে বাবার সাথে ব্লুবার্ড ছোট স্কুলে যাওয়া   তারপর বন্ধুদের সাথে এদিক ওদিক ঘুরে সন্ধ্যায় বাসায় ফেরা ,joy
চুয়েটের একটা ভাইয়া মারা গেলো আজকে সড়ক দুর্ঘটনায় আর আপনি এসব পোস্ট করে যাচ্ছেন  মানে কি বলতাম আর আপনাদের  আড্ডাবাজ পুরা কার্টুনদের আনাগোনায় ভর্তি,disgust
চুয়েটের চার বছরে যতজন ফ্রেন্ডলি শিক্ষক দেখসি তাদের মধ্যে আরাফাত স্যার অন্যতম তার বিরুদ্ধে এমন অভিযোগ আশ্চর্যজনক ,surprise
চুয়েটের নিকটস্থ পাহাড়তলীতে চুয়েটগামী একটি লোকাল বাস নিয়ন্ত্রণ হারিয়ে রাস্তার পাশে খাদে পড়ে যায় ,sadness
চুয়েটের প্রোগ্রাম এইরকমই হয়  এর চেয়ে ভালো হয়না  হ্যাঁ চুয়েটের জন্য খাটাখাটুনি করা সিনিয়র জুনিয়র শিক্ষকদের জন্য কষ্ট হয়  তারা খাইটা মরে  তেলবাজরা মজা নেয় ,disgust
চুয়েটের মানুষ গুলাই কি খালি এরকম  খুবি অবাক হলাম ,surprise
চুয়েটের সমাবর্তন ও সূবর্ণ জয়ন্তী অনুষ্ঠানের অনেক অনেক ছবি দেখেছি এই ক দিনে  এই অনুষ্ঠানদুটো নিয়ে আমার মনে গোটাকতক প্রশ্ন জেগেছে  কাউকে আমি অসম্মান করতে চাই না  তবে প্রশ্নগুলো না করে পারছি না ,anger
চুরি করছে তো করছে  ক্রেডিট দিছে আরেকজনকে  এইডাই সবচেয়ে বড়  মনে হইল আমার কাছে ,surprise
চুরির চুরি উল্টো সিনা জুরি  আবার সাংবাদিক কে তাদের দায়িত্ব শিক্ষাচ্ছে  বাটপারটাকে উচিৎ শিক্ষা দেয়া খুব জরুরী  ,anger
চুরির বিচার যদি এভাবে জনগনের হাতে দেওয়া হয়   সিলেটের রাজনের মত মরতে হবে এই শিশুদের   ছেলেটিকে বাধার স্টাইলটা দেখে আমার চোখে ভেসে উঠেছে সেই সিলেটের রাজন হত্যার কাহিনী টি,fear
"চুলোর পাশে বসা দাদী তাঁর
ছেলের দিকে একবার চোখ
তুলে চাইলেন   কেন
জানি শিউরে উঠলেন  ",fear
চেনাব আর ইন্দু নদীর মিলনস্থলে পৌঁছাতেই এর দুই পাশে থাকা দুই শহরে মুহূর্তের মধ্যে আক্রমণ চালিয়ে ধ্বংস করে দেয় মেসিডন বাহিনী  কয়েকশো মানুষকে হত্যা করা হয় ,disgust
চেষ্টার অবশিষ্ট যখন আর কিছু নেই  তখন আশা ছেড়ে দেয় ঝিনু  কান্নাও আসে না এখন আর তার  মেয়ে শাওন খালি বারবার করে জিজ্ঞেস করে   বাপী কোথায়  বাপী ফিরবে না   কী উত্তর দিবে ঝিনু তার মেয়েকে ভেবে পায় না  বলে দেবে  তার বাবা মারা গেছে  আর ফিরবে না  কিন্তু মৃত্যু কী জিনিস তাও তো বোঝে না এখনো তার চার বছরের মেয়ে ,sadness
চেহারার ঘা থেকে পুজ গড়িয়ে পড়ছিলো  ওর চোখ দুইটা জ্বলজ্বল করছিলো  এতো ভয়ংকর চেহারা কারো থাকতে পারে  জানা ছিলোনা ,fear
চোখ কচলাতে কচলাতে বেশ রাগান্বীত কন্ঠ বলল  ধুরো মরা  ঘুমাইয়াও শান্তি নাই  এত রাইতে মরতে কই যাইবেন ,disgust
চোখ কচলিয়ে ভালোভাবে তাকালাম  অপরিচিত এক মহিলা দাড়িয়ে আছে  চিনি না জানি না  সে নিজেকে আমার বউ দাবী করতেছে  আমার বয়সই বা কত ,surprise
চোখ কি জানেনা আঁখিতে কতটুকু মেঘ জমে আছে  কতটুকু বর্ষার পূর্বাভাস জমে আছে   কতখানি বর্ষা না হওয়া গভীর স্তব্ধতা  ,sadness
চোখ জুড়ানো ভিজুয়াল  বাক ও ফোর্ডের চমৎকার অ্যাডভেঞ্চার ও অভিনয় উপন্যাসের নামের মর্যাদা রেখেছে  উপভোগ করার মতো এক মুভি ,joy
চোখ জুড়ানো সব ছবি  মন ভরে যায়  আমার ছেলের নাম রাইন  আমিই রেখেছি  কেন জানি এই নদীর নামটা মনে দাগ কেটেছিল ,joy
চোখ বন্ধ করলেই যেন মেরুদণ্ড বেয়ে শিরশিরে একটা অনুভূতি নেমে আসা টের পেলাম,fear
চোখ বুঝতেই ঘুমটা চলে এলো  হঠাৎ গতকাল রাতের মতো ভারী এবং গরম একটা নিঃশ্বাস বুকের ওপর পড়লো  তাড়াতাড়ি চোখ খুললাম  দেখলাম তপু ঠিক গতকালের মতোই আমার দিকে ঝুকে একদৃষ্টিতে তাকিয়ে আছে  গতকালের মতোই কেমন ঠান্ডা আর নিষ্প্রাণ সে চাহনি  ,fear
চোখগুলো বেরিয়ে আসতে চাইলো  কোনোরকমে তোতলে তোতলে বললাম  কিইই  কি আআছে পেছনে  ,fear
চোখের অশ্রু টাও বেইমান ঝরে পরে তাও আবার অন্যের জন্য নিজের অস্তিত্ব টাও এখন বেইমানি করে শুধুমাত্র তোর জন্য,sadness
চোখের কোনে কেন যে এতো পানি চলে আসে আর বুকের মাঝে কেন যে এতো ব্যাথা করে  এটা কি রোগ তোমরা কি জানো ,sadness
চোখের পানিই হল সব থেকে মূল্যবান পানি   কারন কি জানেন  পৃথিবীতে অনেক রকমের পানি থাকলেও একমাত্র চোখের পানিই বুঝাতে পারে কাউকে হারানোর কষ্ট    ,sadness
চোখের পানিই হল সব থেকে মূল্যবান পানি   কারন কি জানেন   পৃথিবীতে অনেক রকমের পানি থাকলেও একমাত্র চোখের পানিই বুঝাতে পারে কাউকে হারানোর কষ্ট ,sadness
"চোরের দল দিয়ে চিকিৎসা সেবা অসম্ভব ও সত্যিই দুংখ জনক 
কিন্তু মন্ত্রীদের দেয়া বক্তব্য শুনলে জুতা দিয়ে মারতে ইচ্ছে করে ",anger
চৌধুরীদের কলা বাগানটায় আসতেই কিসব কান্ড কারখানা ঘটতে লাগল   সুরেষতো ভয়ে কাঠ   আমিও কম ভয় পাইনি   ,fear
চৌধুরীদের বাগানটার পাশ দিয়ে যাওয়ার সময় হঠাৎ মনে পড়ল গত রাতের কথা   তাই কৌতূহল বশত বাগানে ঢুকল তারা   ঢুকে দেখল চৌধুরীর ক্ষত বিক্ষত লাস  পিলে চমকে গেল তাদের  ,surprise
চ্যাট লিস্টের সবার উপরে থাকা নামটা একটা সময় ধীরেধীরে নিচে নামতে থাকে  ডাটা অন করলেই যার মেসেজে ভরে যেতো ইনবক্স  সময়ের পালাবদলে তার মেসেজ আর আসেনা  সব কিছুর যেমন শেষ আছে তেমনি সম্পর্ক গুলোও একটা সময় নিঃশেষ হয়ে যায় ,sadness
চ্যানেলগুলোর কোনো কাজ নেই খালি এই দুনিয়ার সব ফালতু মেয়েদের কে নিয়ে এই শালারা সব সময় বসে থাকে,anger
চ্যাম্পিয়ন্স লিগের দলে জায়গা না পাওয়ায় ক্ষুব্ধ গ্যারেথ বেল আগামী গ্রীষ্মের দলবদলেই রিয়াল মাদ্রিদ ছেড়ে যেতে চান  স্প্যানিশ পত্রিকা এএস জানায়   বছর বয়সি বেল মনে করছেন যথেষ্ট হয়েছে  গত সপ্তাহে চ্যাম্পিয়ন্স লিগের খেলায় ক্লাব ব্রাগার বিরুদ্ধে বেলকে দলে রাখেননি কোচ জিনেদিন জিদান  কিন্তু ওয়েলশ ফরোয়ার্ড বেলকে খেলাটিতে দরকার ছিল ,anger
ছবি গুলা বেশি কিউট  অসংখ্য ধন্যবাদ এত সুন্দর আর কিউট ছবি দিয়ে উইশ করার জন্য ,joy
ছবি দেখে মজা পাইলাম বাংলাদেশের পুলিশ আর আর্মি তার কাছে মুরির মোয়া   রাকিব ভাইয়ের মত এরকমভাবে অন্য কেউ রোস্ট করতে পারবে নাহ গ্যারান্টি ,joy
ছবি যা হাজারো কথা বলে  ছবিটা শেয়ার এর সময় নিজের ও মন খারাপ লাগছিলো,sadness
ছবিগুলো অসাধারন   বিশেষ করে গলফ মাঠে ক্যাঙ্গারুর ছবিটা অতুলনীয়  যাবার আগ্রহ থাকলো  হয়ত একদিন   ,joy
ছবিটা দেখি আর ভাবি  হায়রে আমার দেশের মানুষ৷ আমার মনে হয় কেউ ভাইরাস আক্রান্ত হয়ে মারা গেছে শুনলে তাকে দেখতে মানুষের ঢল নামবে৷ রাস্তায় পড়ে থাকলে সাহসী টেলিভিশন রিপোর্টার ক্যামেরাম্যান হামাগুড়ি দিয়ে সেই লাশের কাছে যাবে৷ লাইভ দেখাবে৷ পারলে লাশের সাথে কথা বলার চেষ্টা করবে৷ যেমন কিউট জনগণ  তেমন মিডিয়া  তেমন অথরিটি৷,anger
ছবিটা দেখি আর ভাবি  হায়রে আমার দেশের মানুষ৷ আমার মনে হয় কেউ ভাইরাস আক্রান্ত হয়ে মারা গেছে শুনলে তাকে দেখতে মানুষের ঢল নামবে৷ রাস্তায় পড়ে থাকলে সাহসী টেলিভিশন রিপোর্টার ক্যামেরাম্যান হামাগুড়ি দিয়ে সেই লাশের কাছে যাবে৷ লাইভ দেখাবে৷ পারলে লাশের সাথে কথা বলার চেষ্টা করবে৷ যেমন কিউট জনগণ  তেমন মিডিয়া  তেমন নেতৃত্ব৷,sadness
ছবিদি কেষ্টপুর থেকে রোজ সল্টলেকে ঠিকে কাজ করতে আসে  আজ খুব ভয় পেয়েছে ,fear
ছবির দুইজন ই মা যখন আপু আমাকে ছবিটা পাঠান আমি খুব অবাক হয়েছিলাম কি আশ্চর্য ব্যপার  ,surprise
ছয় ঘন্টা পায়ে হেঁটে মুরগী কিনে আনতে হয় এই অনাথালয়ে  তাই অনেকেই অবাক হয় এতিম এই শিশুদের প্লেটে মাংসের টুকরা দেখে  এমন অনেক অবাক করা কাজ হয় এই প্রজেক্টের অধীনে ,surprise
ছাত্রজীবনের সাথে কর্মজীবনের মিল অনেকক্ষেত্রেই থাকে না  ক্লাসে সবচেয়ে অসফল ছাত্রটি কর্মজীবনে অত্যন্ত দক্ষতার সাথে সবার ভরসা হয়ে যায়  পিছনে চুপচাপ বসে থাকা ছেলেটি মিডিয়া জগত দাপিয়ে বেড়ায়  যাকে কোনদিন ঠিকমতো ক্লাসে ঠিকমত দেখা যায়নি বা কেউ চেনেই না সে সরকারী প্রথম শ্রেনীর জব অনায়াসে রিজেক্ট করে  যাকে কোনদিন ক্যাম্পাসে কথা বলতে শুনেনি ঠিকঠাক সে সমাজের সর্বস্তরে মানুষকে সচেতন করার কাজ করে যায় ,sadness
ছাত্রলীগের বর্তমান  সদস্যের কেন্দ্রীয় কমিটির মধ্যে দেড় শতাধিক নেতা আসন্ন সম্মেলনে বাদ পড়তে পারেন  তাদের বিরুদ্ধে অসংখ্য অভিযোগের পাশাপাশি মাদকে সম্পৃক্ততার প্রমাণ রয়েছে খোদ আওয়ামী লীগ হাইকমান্ডের কাছে ,disgust
ছাত্রীকে যৌন হয়রানির অভিযোগ ওঠা জাহাঙ্গীরনগর বিশ্ববিদ্যালয়ের  জাবি  সরকার ও রাজনীতি বিভাগের এক শিক্ষককে বিশ্ববিদ্যালয়ের সব একাডেমিক ও প্রশাসনিক কার্যক্রম থেকে বিরত থাকার নির্দেশ দিয়েছে বিশ্ববিদ্যালয় প্রশাসন ,disgust
ছাদ তালা দিয়ে নামার জন্য পেছন গুড়তেই চমকে উঠলাম   হাতের ডান পাশে সিঁড়ির শেষ মাথার ছাদের দেয়াল ঘেষে কে যেনো বসে আছে  ,surprise
ছাদের এ মাথা   ও মাথা বেশ ভাল করে দেখলাম কেউ নেই   আমি বেশ অবাক হলাম   তা হলে শব্দ করলো কে  ,surprise
ছাদের খোলা দরজা দিয়ে ভুরভুর করে কুচকুচে কালো ধোঁয়া বেরিয়ে আকাশটাকে একটু একটু করে ঢেকে দিচ্ছে  আশপাশের   টা ভবনের ছাদে জড়ো হয়েছেন কেউ কেউ  নিচের তলায় আগুনের কি অবস্থা জানবার কোনো উপায় নেই ,fear
ছাপোষা কর্মচারী হয়ে মাকিলের বিরুদ্ধে আন্দোলনে নেমেছ  এ যে আগুন নিয়ে খেলা তা একবার ভেবে দেখেছ ,disgust
ছি ছি ছি  গায়ে পিঠে শতেক আঁচিল  নাক কান নিয়ে গেলো চিল,disgust
ছি ছি ছি  দাদা কি লজ্জার বিষয়  বউ এর হাতে মার খাওয়া এর চেয়ে লজ্জার কি হতে পারে  আর যে বউ এর হাতে মার খায়  তার মতো বেহায়া কে আছে ,disgust
"ছি পার্লার আজ জাতিকে ধ্বংস করছে যাদের ধোনের জোর নাই তাদের বউ পার্লারে যায় এসব পুরুষ দের জন্য জাতি আজ ধ্বংস 
",anger
ছিঁড়ে ফেলেছি আমি ডায়রির পাতা  সেথা লেখা ছিল হাজার স্বপ্নের কথা ছিঁড়তে পারিনি আমার মনের পাতা যেখানে জমে আছে আছে জীবনের অনেক ব্যথা   ,sadness
ছিঃ এভাবে অপমান নিজের দেশের মুভিকে ছিঃ,disgust
ছিড়ে ফেলেছি আমি ডাইরির পাতা সেথা লেখা ছিল হাজার স্বপ্নের কথা ছিড়তে পারিনি আমার মনের পারা যেখানে জমে আছে জীবনের অনেক ব্যথা  ,sadness
ছিল পড়া না পারার ভয়  মার খাবার ভয়  শাস্তি পাবার ভয় ,fear
ছুটির দিনে আমার ঘুম আসে না দুপুরে  অথচ অফিসে ঢলে পড়ি  বড্ড মুশকিলে পড়া গেল ,disgust
ছুটির দিনের সকাল  তবু ভোরের আলো ফোটার আগেই মানিকগঞ্জ থেকে ঢাকার উদ্দেশে রওনা দিয়েছেন বাবা  কারণ  ছেলে অনন্য যায়িফের আগ্রহ পদার্থবিজ্ঞানের প্রতি  সেই আগ্রহ থেকেই অনন্য ঢাকায় অনুষ্ঠিত হচ্ছে ফিজিক্স অলিম্পিয়াডে অংশ নেবে ,surprise
ছেলেটা অবাক হয়ে চেয়ে আছে  জামান আবার প্রশ্ন করলো   বলো ন্যাটোর সদর দপ্তর কোথায় অবস্থিত  ,surprise
ছেলেটা কেমন অদ্ভুতভাবে সব কথার জবাব দিচ্ছে  যেন সে আগে থেকেই জানে আমি ওকে কী জিজ্ঞেস করবো ,surprise
ছেলেটার ম্যাচিউরিটি লেভেল দেখে আমি অবাক  সে তার ঋণের কথা পর্যন্ত বলে গেছে ,surprise
ছেলেটারে থাপড়ায়া চোখের কোনায় কালো দাগ করায় ফেলছে  মাদারচোদগুলারে মাইরা শোয়ানো উচিৎ ছিলো সাথে চাইল্ড এবিউজিং এর মামলা ,anger
"ছেলেটি কোন উত্তর দিলো না শুধু একটি হাত আমার দিকে বাড়িয়ে দিলো  
আমি ভয়ে তখন কি ভাবে যে নীচে নেমে এলাম বলতে পারবো না  ",fear
ছেলেরা এরকমই মেয়ে পছন্দ করে যারা শ্বশুর শাশুড়ির উপর অত্যাচার করে  তারা তো আর ভালো মেয়ে চায়না এরকম বৌমাদেরকে মুখে বিষ ঢেলে মেরে দেওয়া উচিত ,anger
ছো‌টো বেলায় শু‌নে‌ছিলাম   বাবা মার ভা‌লো সন্তান কখ‌নো পু‌লিশ হয়না   খারাপটায় হয়   কথাটা দেখ‌ছি   সত্যি,disgust
"ছোট একটি বাচ্চা রেললাইনের উপরে শুয়ে আছে আর কান্না করছে   আমি এই দৃশ্য দেখে ভয় পেয়ে গেলাম  আসে পাশে কোন
ঘর বাড়ি ও নেই যে বাচ্চাটা ওখান থেকে আসবে  ",fear
ছোট চার বাচ্চা কিছুই বুঝেনি  তারা চুপচাপ মরে গেছে  বড় ছেলেটা ভেবেছিল মা হয়তো তাঁকে কোন দুষ্টামির জন্য শাস্তি দিচ্ছেন ,sadness
ছোট থেকেই শুনতে হতো আমি আপুর মতো না আমাদের বোন বলে মনে হয় না বিয়ের অনুষ্ঠানে অথবা ফটো ফ্রেমে পরিবারের সবার মাঝখানে নিজেকে খাপছাড়া লাগতো সবাই ঠাট্টা করে বাবা মাকে বলতো  ওকে দেখে বোঝা যায় না আপনাদের সন্তান   কথাটা গায়ে কাঁটার মতো লাগতো ,sadness
ছোট বেলা থেকেই তাদের অবহেলায় বড় হয়েছি অনেক কেদেছি ঘর বসে কেন আমিও আম্মুর সাথে চলে গেলাম না কেন আম্মু আমাকে একা ফেলে রেখে চলে গেলে আমি কি এতই খারাপ যে কারো ভালোবাসা পাওয়ার যোগ্য না কেন আমি মরে গেলাম না ভাইয়াও মাঝে মাঝে বলে কেন আমি মারা যাই না ,sadness
ছোট বেলায় আমাদের শোভাকলোণীতে দেখতাম মানুষ মানুষে কত একটা মেলামেশা ছিলো  এখন কিছু নেই  ঈদ কোরবানেও এখন আর সেই আমেজ নেই ,sadness
"ছোট ভাইয়ের কথা শুনে গা কেমন
ছমছম করে ওঠে বড়ভাইয়ের  
পেছন ফিরে তাকায় সে  ",fear
ছোট রবার্টের সাথে কথা বলত পুতুলটি  সে এক জায়গা থেকে অন্যত্র সরে যেতে পারত  বিভিন্ন সময় তার এইসব আচরণ দেখে বাড়ির সবাই আতংকিত হয়ে পড়ে ,fear
ছোটবেলায় আমি কপিল শর্মার কমেডি শো দেখতাম  এখন হুজুরদের ওয়াজ শুনি  এভাবে আমাদের হাসানোর দায়িত্ব নেওয়ায় হুজুরদের ধন্যবাদ ,joy
ছোটবেলায় আমি ছিলাম টেনে টুনে পাশ করার এক ছাত্রী৷ পড়াশুনার প্রতি আগ্রহ শূন্য বললেই চলত৷ মাঝে মাঝে অবাক হয়ে দেখতাম ক্লাসে ফার্স্ট  সেকেন্ড  থার্ড হবার যুদ্ধ৷,surprise
ছোটবেলার সেই ছেলেটি বা মেয়েটি যে মার খাবার ভয়ে রোজ পড়া মুখস্ত করে স্কুলে যায় সেটাও ভয়,fear
"ছোট্ট একটা সিলেবাস    বুঝে পড়লেই হবে    মুখস্থ করার কিচ্ছু নাই       
তাই মুভি দেখি ",disgust
ছোপ ছোপ রক্ত পড়ে আছে   আঁতকে উঠল মনন   রক্ত দেখে মাথায় বিভিন্ন চিন্তা আসতে লাগলো  ,fear
জনগণের জন্য ভয়ের পরিস্থিতি তৈরি করে তারাও ভয়ে আছে ,fear
জনগণের ভোটে নির্বাচিত এই সরকারের কোন জনদরদী নেতার কানে এ কথাগুলো পৌঁছাতে পারলেই ওদের আর কোন চিন্তার কোন কারণ থাকবে না ,anger
"জনতার সর্বনাশ 
আওয়ামী লীগের পৌষ মাস  
এখন দেশে শুধু আওয়ামী লীগের আনন্দ  
লীগের কর্মী দিয়ে ত্রাণ কমিটি গঠন করছে    যেখানে টাকা সেখানে লীগের লোক  ",anger
জনপ্রশাসন প্রতিমন্ত্রী ফরহাদ হোসেন বলেছেন  সরকারের বিভিন্ন মন্ত্রণালয়ে বর্তমানে  লাখ  হাজার টি পদ শূন্য রয়েছে ,disgust
জনপ্রিয় পপ তারকা টিফানি ইয়ংয়ের নতুন একক গানে বিনিয়োগ করেছেন পপ তারকা লেডি গাগার প্রযোজক  সম্প্রতি এক টিভি অনুষ্ঠানে এ তথ্য জানিয়ে সংগীত অঙ্গনকে তাক লাগিয়ে দিয়েছেন টিফানি  এ মাসেই মুক্তি পাচ্ছে তাঁর নতুন গান  রান ফর ইয়োর লাইফ  ,surprise
জনপ্রিয় সুরকার ও সংগীত পরিচালক ফুয়াদ আল মুক্তাদির দীর্ঘদিন অসুস্থ ছিলেন  নিউইয়র্কে ফুয়াদের দেহে অস্ত্রোপচার করা হয়  সব বিপদ কাটিয়ে সম্প্রতি ফুয়াদ দারুণভাবে ফিরে এসেছেন  তাঁর এই ফিরে আসাকে উদ্‌যাপন করছে বন্ধু  সহকর্মী আর ভক্তরা,joy
জনপ্রিয়তার তম বর্ষে এসে শিল্পী আসিফ আকবর জানালেন নিজের লক্ষ্যের কথা  নিজের গাওয়া পাঁচ হাজার গান শ্রোতাদের জন্য রেখে যেতে চান তিনি ,surprise
জনপ্রিয়তার শীর্ষে আরোহন করেও তার জীবনকে করুন পরিণতি থেকে রক্ষা করতে পারেননি মাইকেল  খেয়ালী জীবন যাপন  প্লাস্টিক সার্জারি  শিশুদের ওপর যৌন নির্যাতনের অভিযোগ এবং মাদকের সর্বনাশা ছোবলে মাইকেলকে করুণ পরিণতি বরন করতে হলো  তার মৃত্যুর পর ময়নাতদন্তে দেখা যায় তার পাকস্থলীতে ঔষুষ ছাড়া কোন খাদ্য দ্রব্য পাওয়া যায়ানি ,sadness
জনমানবহীন কোন হোটেল করিডর বা ছোট্ট একটা ছেলে একা একা ট্রাই সাইকেলে চড়ার চেষ্টা করছে   এসব দৃশ্য দেখে নিশ্চিতভাবেই ভয় পাই ,fear
জনসম্মুখে কথা বলতে বা প্রেজেন্টেশন দিতে ভয় পাই  অনেক ভয় লাগে,fear
জনাব কত পার্সেন্ট ইঞ্জিনিয়ার ঘুষ ছাড়া কাজ করে সেই পরিসংখ্যান টা জানেন   অন্যের চরকায় তেল না দিয়ে নিজের টা দেয়াই উত্তম,disgust
জনির জীবনটা তছনছ  করে দিয়েছে বদমাইশ মহিলা,anger
জন্ম টা যদি রাস্তাই হয় তাহলে আর কি দেখবো তাদের কাছ থেকে মাদারসো একেকটা  এগুলারে জনিরে দিয়া এনাল দেয়া উচিৎ,anger
জন্মদিনে ডিম কেন মারতে হবে  কেন কেক মুখের উপর ঢেলে দিয়ে নষ্ট করতে হবে ,disgust
জন্মের দায়  প্রতিভার পাপ নিয়ে নিত্য নিয়ত পাথর সরিয়ে হাঁটি  অতল নিষেধে ডুবতে ডুবতে ভাসি  আমার কে আছে একা আমি ছাড়া আর  ,sadness
জন্মের মাত্র  ঘণ্টার মধ্যেই চীনের এক নবজাতকের শরীরে করোনাভাইরাস শনাক্ত করা হয়েছে  চীনের হুবেই প্রদেশের উহান শহরে শিশুটির জন্ম হয় ,sadness
"জয়ধ্বনির  বছর পূর্তি উপলক্ষে আগামিকাল আড্ডা কেন্দ্রীয় শহীদ মিনার বিকাল   এ অনুষ্ঠিত হবে 
সকলেই আমন্ত্রিত  ",joy
জলবায়ু নিয়ে সচেতনতা তৈরিতে  মিনিটের এই অ্যানিমেশন ছবিটি বানাল দীপ্ত টিভি  নির্মাণ করেছেন মোহাম্মদ শিহাব উদ্দিন  বেসরকারি টেলিভিশন চ্যানেল দীপ্ত টিভিতে প্রচারিত হবে সিনেমাটি ,joy
জলবায়ূ পরিবর্তন সম্পর্কে এতদিন যেসব ভয়ের গল্প শুনতেন  সেসব এবার সত্যি হচ্ছে  আপনি আর আমি খুব দ্রুতই টের পাবো ,fear
জলমগ্ন এলাকায় ছিল পাইপ  কিন্তু যন্ত্র দেখা যাচ্ছিল না  খোঁজাখুঁজির একপর্যায়ে টিলার ঢালের ঝোপঝাড়ের মধ্যে পাওয়া যায় সদ্য খোঁড়া মাটি  সেই মাটি খুঁড়তেই দেখা গেল লুকিয়ে রাখা হয়েছে পাথর উত্তোলনের অবৈধ যন্ত্র  বোমা মেশিন  ,disgust
জলাশয়ে আসা পরিযায়ী পাখিদের কেউ যাতে শিকার করতে না পারে  বিষয়টি গুরুত্বসহকারে নজরে রাখা হচ্ছে  পাশাপাশি স্থানীয় জনগণকেও সচেতন করা হচ্ছে  পাখিদের বিচরণ যাতে কোনোভাবে ব্যাহত না হয়  সে বিষয়ে প্রশাসন অত্যন্ত কঠোর ,joy
জাকিয়ার কথায় চিন্তায় পড়ে গেলাম  এই সময় এখন টাকা পাবো কোথায় ,fear
জাতি হিসেবে গর্ব করার মত কিছু অর্জন হয়তো বা আছে  তবে সবকিছুই এই কুকুরদের এই নির্বুদ্ধিতার কাছে ধুলিস্যাৎ ,disgust
জাতি হিসেবে  রাষ্ট্রের আইন শৃংখলা হিসেবে ধ্বঃজ তো তুমি সেই কবেই হয়েছো যখন একজন মাকে তার মৃত কন্যাকে কোলে শুইয়ে কান্দতে কান্দতে বলতে হয়    ধর্ষণ করছে করছে কিন্তু মেয়েটারে মেরে ফেল্লো ক্যানো   ,disgust
জাতিগতভাবে আমাদের যে চোর বা পকেটমার পিটায়ে মাইরা ফেলার সংস্কৃতি  একজন নারী অপরাধীরে উনার অপরাধের শাস্তি পাওয়ার পরেও ধর্ষণের আমাদের যেই আকাংক্ষা  উনারে সম্মিলিতভাবে বেশ্যা বানানোর যেই প্রকল্প  তা থিকা আপনারা দয়া কইরা বাইর হইয়া সুস্থ হন  দয়া কইরা সুস্থ হন  দয়া কইরা সুস্থ হন ,disgust
জাতির জনক বঙ্গবন্ধু শেখ মুজিবুর রহমানের জন্মশতবার্ষিকী সামনে রেখে বিভিন্ন ধরনের কর্মসূচি নিয়েছে সুপ্রিম কোর্ট লিগ্যাল এইড কমিটি  সুপ্রিম কোর্ট লিগ্যাল এইড কমিটির চেয়ারম্যান বিচারপতি এম ইনায়েতুর রহিমের সভাপতিত্বে অনুষ্ঠিত সভায় মুজিব বর্ষ সামনে রেখে বিভিন্ন কর্মসূচি গ্রহণ করা হয়,joy
জাতিসংঘের পরিবেশ কার্যক্রমের  বিলিয়ন ট্রি  প্রচারের অনুরোধে করা সেই গবেষণায় পাওয়া গেছে যে  পৃথিবীতে মোট গাছের সংখ্যা তিন ট্রিলিয়ন  অর্থাৎ তিন লাখ কোটির বেশি  এই গাছের প্রায় অর্ধেক আছে গ্রীষ্মপ্রধান অঞ্চলে  প্রত্যেক মানুষপ্রতি প্রায় টি গাছ আছে ,surprise
জাতীয় অধ্যাপক ড  আনিসুজ্জামান বলেছেন   যারা প্রতিবন্ধী  তাদের প্রতি সমাজের একটা বিশেষ দায়িত্ব আছে  কিন্তু সেই দায়িত্ব সম্পর্কে আমরা খুব সচেতন নই  সচেতন হলে তাদের কল্যাণে অনেক প্রতিষ্ঠান ও সংগঠন গড়ে উঠত  ,sadness
জাতীয় দলে ঢোকার আগের ধাপটাই তো অনূর্ধ্ব   যেহেতু বয়সভিত্তিক এ দল থেকে অনেকেই সরাসরি উঠে আসেন জাতীয় দলে  শরিফুল ইসলাম কি সে পথেই হাঁটছেন  পচেফস্ট্রুমে আজ অনূর্ধ্ব  বিশ্বকাপ সেমিফাইনালে নিউজিল্যান্ডের ব্যাটসম্যানদের গতি ও সুইংয়ে নাকানি চুবানি খাইয়েছেন বাঁহাতি এ পেসার ,joy
জাতীয় নদী রক্ষা কমিশনের চেয়ারম্যান বলেন  শুষ্ক মৌসুমে নদীতে পানির প্রবাহ কমে যাচ্ছে  কিন্তু বর্ষা মৌসুমে পানি বেশি আসছে  এ কারণে বন্যাসহ বিভিন্ন প্রাকৃতিক দুর্যোগ হচ্ছে  এতে দেশের সম্পদ ও জানমাল বিনষ্ট হচ্ছে ,fear
